x_mm,r_mm
-158.73086,41.93708
-158.53086,41.93708
-158.33086,41.93708
-158.13086,41.93708
-157.93086,41.93708
-157.73086,41.93708
-157.53086,41.93708
-157.33086,41.93708
-157.13086,41.93708
-156.93086,41.93708
-156.73086,41.93708
-156.53086,41.93708
-156.33086,41.93708
-156.13086,41.93708
-155.93086,41.93708
-155.73086,41.93708
-155.53086,41.93708
-155.33086,41.93708
-155.13086,41.93708
-154.93086,41.93708
-154.73086,41.93708
-154.53086,41.93708
-154.33086,41.93708
-154.13086,41.93708
-153.93086,41.93708
-153.73086,41.93708
-153.53086,41.93708
-153.33086,41.93708
-153.13086,41.93708
-152.93086,41.93708
-152.73086,41.93708
-152.53086,41.93708
-152.33086,41.93708
-152.13086,41.93708
-151.93086,41.93708
-151.73086,41.93708
-151.53086,41.93708
-151.33086,41.93708
-151.13086,41.93708
-150.93086,41.93708
-150.73086,41.93708
-150.53086,41.93708
-150.33086,41.93708
-150.13086,41.93708
-149.93086,41.93708
-149.73086,41.93708
-149.53086,41.93708
-149.33086,41.93708
-149.13086,41.93708
